"year","siteID","nitrateMean","nitrateSD","nitrateMin","nitrateMax","nitrateCV","siteMean"
2018,"COMO",6.15187696581022,2.79857118257638,0.2,15.4,0.454913386293283,5.2087847501188
2019,"COMO",4.73982602763091,2.68591563282799,0.9,14.7,0.566669666179812,5.2087847501188
2020,"COMO",6.4223775680609,4.78024587069831,0,24,0.744310937817006,5.2087847501188
2021,"COMO",4.95476369985318,2.54563375507816,-0.4,15.2,0.513775007101468,5.2087847501188
2022,"COMO",7.25353541924153,2.95797875688368,1.2,17.8,0.407798209551307,5.2087847501188
2017,"CRAM",2.5015625,0.169727096073715,1.9,2.8,0.0678484331587617,3.17570513916147
2018,"CRAM",2.92237997834196,0.767107913939079,1.9,4.5,0.262494240866756,3.17570513916147
2019,"CRAM",3.20415707342031,0.358510074611271,2.7,7.9,0.111889044886484,3.17570513916147
2020,"CRAM",3.51537037037037,1.51130335622824,-0.9,5.9,0.429912981279698,3.17570513916147
2021,"CRAM",3.18648021108179,0.491833038446346,1.7,7.4,0.154349942841594,3.17570513916147
2022,"CRAM",3.72428070175439,2.01582660753604,2.3,9.7,0.541266023956371,3.17570513916147
2018,"CUPE",33.4759644901684,5.12526789236782,22.1,62,0.153102919375872,26.8406893724057
2019,"CUPE",28.7353345266315,3.06275384826512,21.1,74.5,0.106584937976852,26.8406893724057
2020,"CUPE",25.532180715198,1.94026271473448,-0.6,41,0.0759928318061586,26.8406893724057
2021,"CUPE",23.8037108937505,2.29417838798702,-0.9,50.1,0.0963790225073411,26.8406893724057
2022,"CUPE",22.6562562362802,2.26610952992313,-1,44.4,0.100021358616802,26.8406893724057
2018,"FLNT",56.7606128398075,12.5818510024611,0.2,92.8,0.221665171903097,57.2970532530643
2019,"FLNT",62.441975988545,18.64645835019,22.6,104.4,0.298620568215374,57.2970532530643
2020,"FLNT",49.45372491274,13.2143607282643,20.2,79.2,0.267206580527164,57.2970532530643
2021,"FLNT",60.1260089020772,13.2239443651298,29.8,93.3,0.219937172059211,57.2970532530643
2022,"FLNT",57.702943622152,11.5961010574044,29.9,81.3,0.200962036414252,57.2970532530643
2018,"GUIL",22.7789473684211,4.35702441385324,15.7,33,0.191274177133113,22.8962144388451
2019,"GUIL",21.4238186313383,8.88066684537436,7.8,59.8,0.414523059506483,22.8962144388451
2021,"GUIL",22.0829411764706,6.76524238322705,12.6,62.5,0.306356038770571,22.8962144388451
2022,"GUIL",25.2991505791506,5.87735524901358,-0.4,77,0.232314331290522,22.8962144388451
2017,"HOPB",2.87501025851457,1.30850791012091,-0.7,18.9,0.455131562138137,5.10579894516704
2018,"HOPB",4.99325360318921,0.949803269793206,-0.8,15.4,0.190217310249686,5.10579894516704
2019,"HOPB",6.11182533224844,2.6159066515552,-0.7,18.1,0.428007429753044,5.10579894516704
2020,"HOPB",5.63301820279451,2.54682175266057,1.6,20.8,0.45212382793244,5.10579894516704
2021,"HOPB",5.10156125255034,1.90123140810564,1.1,20.1,0.372676385519273,5.10579894516704
2022,"HOPB",5.92012502170516,2.56067234621398,0.8,16.8,0.432536869884623,5.10579894516704
2017,"KING",4.98048375376311,2.7540549036171,-0.4,39,0.552969357953677,10.358878176666
2018,"KING",36.2116071428571,0.728165105487362,34.7,37.7,0.0201086105517135,10.358878176666
2019,"KING",3.6939213957589,2.09768963289512,-0.8,28.9,0.567876088349779,10.358878176666
2020,"KING",3.63705359061412,1.6618344819429,0.6,27.9,0.456917788132536,10.358878176666
2021,"KING",9.42537337839311,6.29403079007339,-0.1,71.4,0.667775220926731,10.358878176666
2022,"KING",4.20482979860987,3.58149269276813,-0.9,50.9,0.851756875855518,10.358878176666
2017,"LECO",18.1788904333112,3.18179405283856,8.5,30.1,0.17502685681015,16.0147924143433
2019,"LECO",17.2512818032311,7.17023140507829,0.5,38.9,0.415634703951988,16.0147924143433
2020,"LECO",18.2226677695461,9.34309812413787,1,93.3,0.512718458257365,16.0147924143433
2021,"LECO",12.28743663899,5.17480369149357,0.4,44.7,0.421145910537036,16.0147924143433
2022,"LECO",14.1336854266381,4.10989354298976,8,42.4,0.290787110292108,16.0147924143433
2017,"LEWI",184.071138888889,13.0820630117569,109.7,219,0.0710706908792128,NA
2018,"LEWI",NA,NA,NA,NA,NA,NA
2019,"LEWI",185.247289386612,24.3121812640729,76.7,268.8,0.131241765234865,NA
2020,"LEWI",178.73854140046,21.420106307282,-0.1,248.9,0.119840444816491,NA
2021,"LEWI",184.864103055875,24.028607807167,80.1,243.5,0.129979846871106,NA
2022,"LEWI",180.904405308322,18.4496094176026,91.3,225.7,0.101985407078165,NA
2017,"LIRO",7.12088235294118,0.274179645558598,6.5,7.5,0.0385036055883372,4.23293344862253
2018,"LIRO",4.38544585987261,0.194463734228187,2.3,6.4,0.0443429791272889,4.23293344862253
2019,"LIRO",4.46704591301541,1.05224795299858,0.9,6.4,0.235557899669823,4.23293344862253
2020,"LIRO",3.22176794548679,0.417320540411845,2.4,4.1,0.129531532833222,4.23293344862253
2021,"LIRO",2.85147238514174,0.446504280967413,2,6,0.156587271647458,4.23293344862253
2022,"LIRO",3.35098623527742,0.634298628090601,2.6,7.5,0.189287148187312,4.23293344862253
2018,"MART",4.64125714285714,2.98532271888005,-0.8,12.1,0.643214247130099,1.69155466562194
2019,"MART",1.10925667132495,1.77789179586792,-0.7,34.2,1.60277764545181,1.69155466562194
2020,"MART",0.930933130699088,1.2587572129096,-0.9,12.1,1.35214568200438,1.69155466562194
2021,"MART",1.39759638267492,1.8788866597207,-1,20.3,1.3443700076875,1.69155466562194
2022,"MART",0.378730000553618,0.827340770704509,-1,3.9,2.18451342511848,1.69155466562194
2018,"MAYF",3.54733260325407,2.78632529043043,-0.7,36.4,0.785470549864554,2.49934723760517
2019,"MAYF",4.47546744036106,5.63967835730423,-0.9,39.3,1.26013169181927,2.49934723760517
2020,"MAYF",1.80498633879781,2.5822051182984,-1,36.2,1.43059538058235,2.49934723760517
2021,"MAYF",1.16070648938281,2.03648841023712,-1,20.1,1.75452487675846,2.49934723760517
2022,"MAYF",1.50824331623008,1.11681809661809,-0.8,11.8,0.740476078760038,2.49934723760517
2017,"MCDI",12.2134930643127,5.65686193716024,-0.9,35,0.46316495267757,24.3660079094535
2018,"MCDI",18.3068420109329,13.3287831190859,5,91.2,0.728076590770047,24.3660079094535
2019,"MCDI",29.1754963611955,15.5275188847897,7.7,76.5,0.532210958557739,24.3660079094535
2020,"MCDI",35.3863077858881,21.2022473696465,7,106.7,0.599165290087199,24.3660079094535
2021,"MCDI",24.9662445393413,20.5493894329166,7.7,144.1,0.82308692444854,24.3660079094535
2022,"MCDI",26.1476636950507,22.049903561931,0.5,149.7,0.843283890258413,24.3660079094535
2017,"MCRA",0.0412836438923395,0.724701470036259,-0.9,4,17.5542031107078,0.849551115768758
2018,"MCRA",2.47134759358289,0.705107904110555,0.6,6.6,0.285313124686079,0.849551115768758
2019,"MCRA",0.990722006651885,2.46240511758595,-1,33.5,2.48546524762035,0.849551115768758
2020,"MCRA",0.000601639467549072,0.569675630445348,-1,22,946.872107253972,0.849551115768758
2021,"MCRA",0.743800695249131,0.620568283244739,-0.1,8.9,0.834320654993316,0.849551115768758
2021,"OKSR",7.41328235627301,2.28106477232372,3,14.1,0.3076997020616,7.41328235627301
2017,"POSE",24.1006208323753,12.8085291825394,1.5,45.7,0.531460549154538,29.7887302196784
2018,"POSE",50.8580272822665,10.0428415367742,25.6,67.2,0.197468169204352,29.7887302196784
2019,"POSE",32.4993749482573,19.1597104010444,-0.9,75.7,0.589540889064755,29.7887302196784
2020,"POSE",19.766181339503,10.5348145327147,-0.8,70.5,0.532971662647893,29.7887302196784
2021,"POSE",26.4302752621971,14.9397485908428,-0.9,69.9,0.565251343114499,29.7887302196784
2022,"POSE",25.0779016534712,7.28026349181144,5.2,75.5,0.290305927202794,29.7887302196784
2017,"PRIN",5.95103536158012,3.57590656407061,0.3,25.9,0.600888139088647,14.716658277416
2018,"PRIN",17.4553966789668,10.7787635933356,-0.6,75.5,0.617503216430693,14.716658277416
2019,"PRIN",13.5631644882449,7.72016642132804,-0.7,55.3,0.569200972827475,14.716658277416
2020,"PRIN",17.9898039215686,5.1493200687838,8.5,53.1,0.286235474896427,14.716658277416
2021,"PRIN",15.7680123149301,8.30085300545112,-0.5,63.8,0.526436233030549,14.716658277416
2022,"PRIN",17.5725368992052,8.99172584664645,-0.3,52.9,0.511691959915766,14.716658277416
2019,"PRLA",55.3259936600829,13.0440539243585,-0.7,84,0.235767187562862,40.5806433604003
2020,"PRLA",32.092520935605,3.29234956428485,27.1,41.5,0.102589309543214,40.5806433604003
2021,"PRLA",40.0669381684255,4.21233564066108,30.7,59.8,0.105132456664247,40.5806433604003
2022,"PRLA",34.8371206774876,2.10775529452854,30.6,38.8,0.0605031430134985,40.5806433604003
2019,"PRPO",33.7295328324077,1.17777765580763,30.5,38.6,0.0349182913875406,32.3980714411861
2020,"PRPO",31.2645046728972,2.53914008011751,-0.6,35.2,0.0812147867584371,32.3980714411861
2021,"PRPO",33.9325812943544,2.330584190464,31,54.1,0.0686827851452537,32.3980714411861
2022,"PRPO",30.665666965085,1.094649927698,24.1,49.2,0.0356962699994209,32.3980714411861
2018,"REDB",5.06762779347547,4.00879653123497,-0.8,59,0.791059780751116,5.56949759825961
2019,"REDB",9.3615087040619,2.68937676475231,-0.4,28,0.287280271777711,5.56949759825961
2020,"REDB",4.31533050584463,0.53344466744462,2.3,10.4,0.12361617881229,5.56949759825961
2021,"REDB",4.88333333333333,2.47112758116774,-0.9,24.2,0.506032951774963,5.56949759825961
2022,"REDB",4.21968765458271,2.60064703853507,0.8,25.1,0.616312687435688,5.56949759825961
2018,"SUGG",-0.233333333333333,0.23094010767585,-0.5,-0.1,-0.989743318610787,7.42871334252909
2020,"SUGG",13.5796904070849,4.33149899688261,-0.1,23.5,0.318968906288375,7.42871334252909
2021,"SUGG",10.5122135346455,2.04929126005112,4.5,15,0.194943838735505,7.42871334252909
2022,"SUGG",5.85628276171933,3.40040171322451,0.1,12.2,0.580641654711733,7.42871334252909
2019,"SYCA",10.7168083097262,28.4301090869678,-1,293.8,2.65285225463683,5.91297191051347
2020,"SYCA",6.00183632734531,1.94187826478523,0.5,18.1,0.323547354321831,5.91297191051347
2021,"SYCA",-0.0752979414951246,1.33482712787771,-0.9,39.6,-17.727272504045,5.91297191051347
2022,"SYCA",7.00854094647753,9.15317743814596,-0.9,78.5,1.30600327629481,5.91297191051347
2018,"TECR",2.24510344827586,1.20943463581612,0.8,12.5,0.538698845589903,1.63569394430756
2019,"TECR",1.32994166777144,0.594073333464106,0.3,8.8,0.446691270647669,1.63569394430756
2020,"TECR",1.10193686209352,0.853241650912122,-0.1,9.9,0.774310834189798,1.63569394430756
2021,"TECR",1.68926762688122,1.98790933367859,-0.9,41.2,1.17678768126796,1.63569394430756
2022,"TECR",1.81222011651576,0.544243707186072,0.8,10.1,0.300318764937041,1.63569394430756
2018,"TOMB",32.1281145584726,7.38898595324732,10.9,50.8,0.229985047513433,23.8853795033713
2019,"TOMB",17.7316603931409,6.78467795408786,-0.3,28,0.382630718368165,23.8853795033713
2021,"TOMB",24.8626133672232,9.41861273952294,-0.7,107.8,0.378826336572473,23.8853795033713
2022,"TOMB",20.8191296946484,12.392776474832,0.6,97.2,0.595259103362887,23.8853795033713
2019,"TOOK",6.93173996175908,0.681827305436018,5.4,8.4,0.098363081880958,4.82938684595891
2022,"TOOK",2.72703373015873,0.647758747828052,2,3.7,0.237532356371092,4.82938684595891
2017,"WALK",6.77640874296781,2.81854652532909,2.6,20.5,0.415935140903952,5.19511132222
2018,"WALK",8.58936120789779,1.88770115963745,3.7,13.7,0.219772007946497,5.19511132222
2019,"WALK",4.90235586395957,1.68257177562946,-0.2,22.2,0.343216980227639,5.19511132222
2020,"WALK",3.23166785841974,1.55075444108979,0.8,18.8,0.479861950246367,5.19511132222
2021,"WALK",4.06948282186086,1.98795925910841,0.7,20.4,0.488504153016518,5.19511132222
2022,"WALK",3.60139143821422,2.38910063198952,-1,17.4,0.663382660001596,5.19511132222
2017,"WLOU",2.31360029525743,1.02027862403079,-1,16.1,0.440991741798365,2.62631302685128
2018,"WLOU",3.1449294929493,0.851922562583281,-0.8,22,0.270887650897494,2.62631302685128
2019,"WLOU",2.11794849448778,0.64135544404739,0.1,3.8,0.302819188340319,2.62631302685128
2020,"WLOU",1.8783583870198,1.18833203729174,-0.6,4.1,0.632643932863709,2.62631302685128
2021,"WLOU",2.75255921504906,1.12844890783973,0.4,6.6,0.409963535632646,2.62631302685128
2022,"WLOU",3.55048227634435,0.977740012246689,-0.9,5.2,0.275382310386687,2.62631302685128
